nombre_del_platillo,ingredientes,descripcion
Receta de Carne con chile colorado,"1 kilogramo de carne de res para deshebrar
 4 papas en cubos
 5 dientes de ajo
 1 cebolla blanca
 3 hojas de laurel
 3 cucharadas soperas de caldo de res en polvo
 1 pizca de sal
 18 chiles guajillos
 1½ cucharadas soperas de orégano en polvo
 ½ cucharada sopera de comino en polvo
 3 litros de agua
 2½ cucharadas soperas de mantequilla
 2 cucharadas soperas de harina de trigo","Características adicionales: Coste medio, Popular en Otoño-Invierno, Poco picante, Estofado, Recetas mexicanas"
Receta de Machacado o machaca con huevo,"10 huevos
 4 cucharadas soperas de leche entera
 300 gramos de carne de res para deshebrar
 ½ cebolla blanca
 4 tomates rojos
 2 chiles serranos
 1 pizca de sal
 1 cucharada sopera de consome de res
 2 hojas de laurel
 1 diente de ajo
 2 cucharadas soperas de aceite","Características adicionales: Coste medio, Popular en Primavera-Verano, Nada picante, Ideal acompañar con zumo natural, En sartén, Recetas mexicanas"
Receta de Mole de olla de pollo,"1 kilogramo de Piezas de pollo
 2 piezas de Elote fresco
 2 piezas de Calabaza
 3 piezas de Zanahoria
 2 piezas de Chayote
 1 taza de Ejotes frescos
 2 tazas de Coliflor
 ½ pieza de Cebolla
 1 diente de Ajo
 6 piezas de Chile guajillo
 1 cucharada sopera de Consomé de pollo en polvo
 1 pizca de Pimienta","Características adicionales: Coste medio, Popular en Otoño-Invierno, Poco picante, Estofado, Recetas mexicanas"
Receta de Mole de olla blanco,"1 kilogramo de Carne de res en trozos grandes
 1 diente de Ajo
 1 trozo de Cebolla
 2 piezas de Elote
 2 piezas de Chayote
 2 piezas de Zanahoria
 1 taza de Ejote
 2 piezas de Calabaza
 2 tazas de Coliflor
 1 cucharada sopera de Consome de res en polvo
 1 pizca de Sal","Características adicionales: Coste medio, Popular en Otoño-Invierno, Nada picante, Hervido, Recetas mexicanas"
Receta de Mole de olla rojo,"1 kilogramo de Carne de res en trozo
 2 dientes de Ajo
 ½ Cebolla
 2 tazas de Coliflor rebanada
 1 Chayote
 2 Zanahoria
 2 Calabaza
 1 taza de Ejote
 2 Elote
 6 Chile guajillo
 1 pizca de Comino","Características adicionales: Coste medio, Popular en Otoño-Invierno, Poco picante, Hervido, Recetas mexicanas"
Receta de Mole de olla verde," 1 kilogramo de Costillitas de puerco
 3 dientes de Ajo
 1 pieza de Cebolla
 1 manojo de Perejil
 1 manojo de Cilantro
 1 manojo de Epazote
 2 unidades de Cebollas de rabo
 2 unidades de Rábanos con hojas
 1 trozo de Lechuga orejona
 1 trozo de Lechuga romana
 500 gramos de Tomates verdes
 5 unidades de Chiles serranos
 250 gramos de Sal
 500 gramos de Ejotes
 500 gramos de Chayotes sin espinas
 6 unidades de Pimienta
 3 unidades de Clavos de olor","Características adicionales: Coste medio, Poco picante, Ideal acompañar con zumo natural, Hervido, Recetas mexicanas"
Verdolagas en salsa verde," kilogramo de Pollo en piezas
 1 kilogramo de Verdolagas
 500 gramos de Tomate verde
 3 unidades de Chiles cuaresmeños
 3 unidades de Pimienta gorda
 3 unidades de Clavos de olor
 100 gramos de Sal
 2 litros de Agua
 2 dientes de Ajo
 100 gramos de Cebolla","Características adicionales: Coste medio, Popular en Primavera-Verano, Poco picante, Ideal acompañar con zumo natural, Hervido, Recetas mexicanas"
Receta de Aporreadillo rojo,"500 gramos de Cesina
 500 gramos de Jitomate
 1 diente de Ajo pelado
 4 unidades de Chiles serranos
 7 piezas de Huevo
 125 mililitros de Aceite
 100 gramos de Cebolla
 1 cucharadita de Cominos","Características adicionales: Coste medio, Poco picante, Ideal acompañar con zumo natural, Frito, Recetas mexicanas"
Receta de Discada norteña,"00 gramos de Carne de res
 500 gramos de Pulpa de puerco
 250 gramos de Tocino
 500 gramos de Salchicha
 500 gramos de Queso manchego
 1 kilogramo de Cebollita cambray
 2 unidades de Cebolla
 1 cabeza de Ajos
 100 mililitros de Aceite
 2 unidades de Pimiento Morrón
Para la salsa verde
 100 gramos de Chile verde serrano
 4 ramas de Cilantro
 1 cucharada sopera de Sal
 1 pizca de Pimienta
 1 diente de Ajo
 1 kilogramo de Tortillas de harina","Características adicionales: Coste medio, Nada picante, Ideal acompañar con cerveza, Parrilla, Recetas mexicanas"
Guiso de filete a la mexicana,"3 unidades de Jitomates maduros picados en cubos
 5 unidades de Tomates verdes picados en cubos
 1 unidad de Pimiento morrón verde picado en cubos
 1 unidad de Chile serrano verde picado
 ½ unidad de Cebolla picada en cubos
 ¼ unidad de Cebolla
 1 diente de Ajo picado
 ½ manojo de Cilantro pequeño
 1 pizca de Sal o consomé de pollo en polvo
 1 pizca de Pimienta molida
 5 filetes de Milanesa o filetes de res picada en cuadros pequeños","Características adicionales: Coste barato, Picante, Estofado, Recetas mexicanas"
